2016-11-04T10:35:05.695+01:00 INFO    SimulatorItemWrapper{entity=MatierePremiere{Prix{2016-11-04 10:35:05 38105361, 936.250}, Platine, Cours platine}, Variation{+ 0.000%}}
2016-11-04T10:35:09.726+01:00 INFO    SimulatorItemWrapper{entity=MatierePremiere{Prix{2016-11-04 10:35:09 38109511, 1391.505}, Platine, Cours platine}, Variation{- 0.022%}}
2016-11-04T10:35:09.767+01:00 INFO    SimulatorItemWrapper{entity=MatierePremiere{Prix{2016-11-04 10:35:09 38109497, 1948.004}, Or, Cours or}, Variation{- 0.039%}}
2016-11-04T10:35:09.815+01:00 INFO    SimulatorItemWrapper{entity=MatierePremiere{Prix{2016-11-04 10:35:09 38109462, 626.526}, Blé, Cours blé}, Variation{- 0.030%}}
2016-11-04T10:35:09.870+01:00 INFO    SimulatorItemWrapper{entity=MatierePremiere{Prix{2016-11-04 10:35:09 38109509, 667.558}, Soja, Cours soja}, Variation{- 0.044%}}
2016-11-04T10:35:09.878+01:00 INFO    SimulatorItemWrapper{entity=MatierePremiere{Prix{2016-11-04 10:35:09 38109397, 28.239}, Brebt oil, Cours brent}, Variation{- 0.036%}}
2016-11-04T10:35:09.890+01:00 INFO    SimulatorItemWrapper{entity=MatierePremiere{Prix{2016-11-04 10:35:09 38109726, 1356.088}, Platine, Cours platine}, Variation{- 0.026%}}
2016-11-04T10:35:09.922+01:00 INFO    SimulatorItemWrapper{entity=MatierePremiere{Prix{2016-11-04 10:35:09 38109454, 81.852}, Pétrole, Cours pétrole}, Variation{+ 0.040%}}
2016-11-04T10:35:09.929+01:00 INFO    SimulatorItemWrapper{entity=MatierePremiere{Prix{2016-11-04 10:35:09 38109527, 99.190}, Café C, Cours café}, Variation{- 0.016%}}
2016-11-04T10:35:10.021+01:00 INFO    SimulatorItemWrapper{entity=MatierePremiere{Prix{2016-11-04 10:35:09 38109871, 640.233}, Soja, Cours soja}, Variation{- 0.041%}}
2016-11-04T10:35:10.064+01:00 INFO    SimulatorItemWrapper{entity=MatierePremiere{Prix{2016-11-04 10:35:09 38109890, 1331.499}, Platine, Cours platine}, Variation{- 0.019%}}
2016-11-04T10:35:10.071+01:00 INFO    SimulatorItemWrapper{entity=MatierePremiere{Prix{2016-11-04 10:35:09 38109659, 71.889}, Gaz naturel, Cours gaz naturel}, Variation{+ 0.033%}}
2016-11-04T10:35:10.106+01:00 INFO    SimulatorItemWrapper{entity=MatierePremiere{Prix{2016-11-04 10:35:09 38109661, 34.923}, Coton, Cours coton}, Variation{- 0.026%}}
2016-11-04T10:35:10.194+01:00 INFO    SimulatorItemWrapper{entity=MatierePremiere{Prix{2016-11-04 10:35:09 38109767, 1887.656}, Or, Cours or}, Variation{- 0.031%}}
2016-11-04T10:35:10.256+01:00 INFO    SimulatorItemWrapper{entity=MatierePremiere{Prix{2016-11-04 10:35:10 38110106, 33.687}, Coton, Cours coton}, Variation{- 0.036%}}
2016-11-04T10:35:10.266+01:00 INFO    SimulatorItemWrapper{entity=MatierePremiere{Prix{2016-11-04 10:35:09 38109816, 605.970}, Blé, Cours blé}, Variation{- 0.033%}}
2016-11-04T10:35:10.279+01:00 INFO    SimulatorItemWrapper{entity=MatierePremiere{Prix{2016-11-04 10:35:10 38110194, 1841.341}, Or, Cours or}, Variation{- 0.025%}}
2016-11-04T10:35:10.314+01:00 INFO    SimulatorItemWrapper{entity=MatierePremiere{Prix{2016-11-04 10:35:10 38110071, 73.178}, Gaz naturel, Cours gaz naturel}, Variation{+ 0.018%}}
2016-11-04T10:35:10.359+01:00 INFO    SimulatorItemWrapper{entity=MatierePremiere{Prix{2016-11-04 10:35:09 38109878, 27.481}, Brebt oil, Cours brent}, Variation{- 0.027%}}
2016-11-04T10:35:10.400+01:00 INFO    SimulatorItemWrapper{entity=MatierePremiere{Prix{2016-11-04 10:35:09 38109922, 79.187}, Pétrole, Cours pétrole}, Variation{- 0.033%}}
2016-11-04T10:35:10.410+01:00 INFO    SimulatorItemWrapper{entity=MatierePremiere{Prix{2016-11-04 10:35:09 38109929, 97.993}, Café C, Cours café}, Variation{- 0.013%}}
2016-11-04T10:35:10.463+01:00 INFO    SimulatorItemWrapper{entity=MatierePremiere{Prix{2016-11-04 10:35:10 38110021, 630.858}, Soja, Cours soja}, Variation{- 0.015%}}
2016-11-04T10:35:10.480+01:00 INFO    SimulatorItemWrapper{entity=MatierePremiere{Prix{2016-11-04 10:35:10 38110064, 1308.676}, Platine, Cours platine}, Variation{- 0.018%}}
2016-11-04T10:35:10.547+01:00 INFO    SimulatorItemWrapper{entity=MatierePremiere{Prix{2016-11-04 10:35:10 38110463, 601.929}, Soja, Cours soja}, Variation{- 0.046%}}
2016-11-04T10:35:10.552+01:00 INFO    SimulatorItemWrapper{entity=MatierePremiere{Prix{2016-11-04 10:35:10 38110410, 95.612}, Café C, Cours café}, Variation{- 0.025%}}
2016-11-04T10:35:10.574+01:00 INFO    SimulatorItemWrapper{entity=MatierePremiere{Prix{2016-11-04 10:35:10 38110480, 1275.874}, Platine, Cours platine}, Variation{- 0.026%}}
2016-11-04T10:35:10.584+01:00 INFO    SimulatorItemWrapper{entity=MatierePremiere{Prix{2016-11-04 10:35:10 38110256, 34.374}, Coton, Cours coton}, Variation{+ 0.021%}}
2016-11-04T10:35:10.589+01:00 INFO    SimulatorItemWrapper{entity=MatierePremiere{Prix{2016-11-04 10:35:10 38110552, 94.116}, Café C, Cours café}, Variation{- 0.016%}}
2016-11-04T10:35:10.658+01:00 INFO    SimulatorItemWrapper{entity=MatierePremiere{Prix{2016-11-04 10:35:10 38110314, 74.130}, Gaz naturel, Cours gaz naturel}, Variation{+ 0.014%}}
2016-11-04T10:35:10.673+01:00 INFO    SimulatorItemWrapper{entity=MatierePremiere{Prix{2016-11-04 10:35:10 38110584, 34.728}, Coton, Cours coton}, Variation{+ 0.011%}}
2016-11-04T10:35:10.684+01:00 INFO    SimulatorItemWrapper{entity=MatierePremiere{Prix{2016-11-04 10:35:10 38110266, 583.285}, Blé, Cours blé}, Variation{- 0.038%}}
2016-11-04T10:35:10.719+01:00 INFO    SimulatorItemWrapper{entity=MatierePremiere{Prix{2016-11-04 10:35:10 38110400, 77.787}, Pétrole, Cours pétrole}, Variation{- 0.018%}}
2016-11-04T10:35:10.726+01:00 INFO    SimulatorItemWrapper{entity=MatierePremiere{Prix{2016-11-04 10:35:10 38110589, 89.733}, Café C, Cours café}, Variation{- 0.047%}}
2016-11-04T10:35:10.745+01:00 INFO    SimulatorItemWrapper{entity=MatierePremiere{Prix{2016-11-04 10:35:10 38110279, 1761.186}, Or, Cours or}, Variation{- 0.044%}}
2016-11-04T10:35:10.813+01:00 INFO    SimulatorItemWrapper{entity=MatierePremiere{Prix{2016-11-04 10:35:10 38110726, 86.007}, Café C, Cours café}, Variation{- 0.042%}}
2016-11-04T10:35:10.834+01:00 INFO    SimulatorItemWrapper{entity=MatierePremiere{Prix{2016-11-04 10:35:10 38110359, 26.990}, Brebt oil, Cours brent}, Variation{- 0.018%}}
2016-11-04T10:35:10.871+01:00 INFO    SimulatorItemWrapper{entity=MatierePremiere{Prix{2016-11-04 10:35:10 38110548, 577.928}, Soja, Cours soja}, Variation{- 0.040%}}
2016-11-04T10:35:10.891+01:00 INFO    SimulatorItemWrapper{entity=MatierePremiere{Prix{2016-11-04 10:35:10 38110673, 35.377}, Coton, Cours coton}, Variation{+ 0.019%}}
2016-11-04T10:35:10.902+01:00 INFO    SimulatorItemWrapper{entity=MatierePremiere{Prix{2016-11-04 10:35:10 38110574, 1261.695}, Platine, Cours platine}, Variation{- 0.012%}}
2016-11-04T10:35:10.919+01:00 INFO    SimulatorItemWrapper{entity=MatierePremiere{Prix{2016-11-04 10:35:10 38110834, 26.613}, Brebt oil, Cours brent}, Variation{- 0.014%}}
2016-11-04T10:35:10.966+01:00 INFO    SimulatorItemWrapper{entity=MatierePremiere{Prix{2016-11-04 10:35:10 38110720, 74.396}, Pétrole, Cours pétrole}, Variation{- 0.044%}}
2016-11-04T10:35:10.983+01:00 INFO    SimulatorItemWrapper{entity=MatierePremiere{Prix{2016-11-04 10:35:10 38110684, 569.683}, Blé, Cours blé}, Variation{- 0.024%}}
2016-11-04T10:35:10.988+01:00 INFO    SimulatorItemWrapper{entity=MatierePremiere{Prix{2016-11-04 10:35:10 38110745, 1708.939}, Or, Cours or}, Variation{- 0.030%}}
2016-11-04T10:35:11.028+01:00 INFO    SimulatorItemWrapper{entity=MatierePremiere{Prix{2016-11-04 10:35:10 38110988, 1656.923}, Or, Cours or}, Variation{- 0.031%}}
2016-11-04T10:35:11.044+01:00 INFO    SimulatorItemWrapper{entity=MatierePremiere{Prix{2016-11-04 10:35:10 38110983, 544.178}, Blé, Cours blé}, Variation{- 0.045%}}
2016-11-04T10:35:11.084+01:00 INFO    SimulatorItemWrapper{entity=MatierePremiere{Prix{2016-11-04 10:35:10 38110871, 558.175}, Soja, Cours soja}, Variation{- 0.035%}}
2016-11-04T10:35:11.117+01:00 INFO    SimulatorItemWrapper{entity=MatierePremiere{Prix{2016-11-04 10:35:10 38110919, 25.865}, Brebt oil, Cours brent}, Variation{- 0.029%}}
2016-11-04T10:35:11.135+01:00 INFO    SimulatorItemWrapper{entity=MatierePremiere{Prix{2016-11-04 10:35:10 38110658, 77.406}, Gaz naturel, Cours gaz naturel}, Variation{+ 0.045%}}
2016-11-04T10:35:11.156+01:00 INFO    SimulatorItemWrapper{entity=MatierePremiere{Prix{2016-11-04 10:35:11 38111029, 1603.196}, Or, Cours or}, Variation{- 0.033%}}
2016-11-04T10:35:11.195+01:00 INFO    SimulatorItemWrapper{entity=MatierePremiere{Prix{2016-11-04 10:35:10 38110891, 36.641}, Coton, Cours coton}, Variation{+ 0.036%}}
2016-11-04T10:35:11.220+01:00 INFO    SimulatorItemWrapper{entity=MatierePremiere{Prix{2016-11-04 10:35:10 38110813, 84.617}, Café C, Cours café}, Variation{- 0.017%}}
2016-11-04T10:35:11.230+01:00 INFO    SimulatorItemWrapper{entity=MatierePremiere{Prix{2016-11-04 10:35:10 38110903, 1227.862}, Platine, Cours platine}, Variation{- 0.027%}}
2016-11-04T10:35:11.250+01:00 INFO    SimulatorItemWrapper{entity=MatierePremiere{Prix{2016-11-04 10:35:11 38111156, 1526.076}, Or, Cours or}, Variation{- 0.049%}}
2016-11-04T10:35:11.295+01:00 INFO    SimulatorItemWrapper{entity=MatierePremiere{Prix{2016-11-04 10:35:11 38111220, 82.583}, Café C, Cours café}, Variation{- 0.025%}}
2016-11-04T10:35:11.303+01:00 INFO    SimulatorItemWrapper{entity=MatierePremiere{Prix{2016-11-04 10:35:11 38111230, 1192.776}, Platine, Cours platine}, Variation{- 0.029%}}
2016-11-04T10:35:11.321+01:00 INFO    SimulatorItemWrapper{entity=MatierePremiere{Prix{2016-11-04 10:35:11 38111135, 78.484}, Gaz naturel, Cours gaz naturel}, Variation{+ 0.014%}}
2016-11-04T10:35:11.390+01:00 INFO    SimulatorItemWrapper{entity=MatierePremiere{Prix{2016-11-04 10:35:10 38110966, 71.433}, Pétrole, Cours pétrole}, Variation{- 0.040%}}
2016-11-04T10:35:11.390+01:00 INFO    SimulatorItemWrapper{entity=MatierePremiere{Prix{2016-11-04 10:35:11 38111390, 537.682}, Soja, Cours soja}, Variation{- 0.025%}}
2016-11-04T10:35:11.486+01:00 INFO    SimulatorItemWrapper{entity=MatierePremiere{Prix{2016-11-04 10:35:11 38111391, 68.352}, Pétrole, Cours pétrole}, Variation{- 0.044%}}
2016-11-04T10:35:11.511+01:00 INFO    SimulatorItemWrapper{entity=MatierePremiere{Prix{2016-11-04 10:35:11 38111390, 537.682}, Soja, Cours soja}, Variation{- 0.025%}}
2016-11-04T10:35:11.529+01:00 INFO    SimulatorItemWrapper{entity=MatierePremiere{Prix{2016-11-04 10:35:11 38111250, 1477.281}, Or, Cours or}, Variation{- 0.032%}}
2016-11-04T10:35:11.535+01:00 INFO    SimulatorItemWrapper{entity=MatierePremiere{Prix{2016-11-04 10:35:11 38111044, 521.399}, Blé, Cours blé}, Variation{- 0.042%}}
2016-11-04T10:35:11.539+01:00 INFO    SimulatorItemWrapper{entity=MatierePremiere{Prix{2016-11-04 10:35:11 38111303, 1140.264}, Platine, Cours platine}, Variation{- 0.045%}}
2016-11-04T10:35:11.582+01:00 INFO    SimulatorItemWrapper{entity=MatierePremiere{Prix{2016-11-04 10:35:11 38111195, 37.427}, Coton, Cours coton}, Variation{+ 0.022%}}
2016-11-04T10:35:11.593+01:00 INFO    SimulatorItemWrapper{entity=MatierePremiere{Prix{2016-11-04 10:35:11 38111296, 81.554}, Café C, Cours café}, Variation{- 0.013%}}
2016-11-04T10:35:11.613+01:00 INFO    SimulatorItemWrapper{entity=MatierePremiere{Prix{2016-11-04 10:35:11 38111117, 25.041}, Brebt oil, Cours brent}, Variation{- 0.032%}}
2016-11-04T10:35:11.661+01:00 INFO    SimulatorItemWrapper{entity=MatierePremiere{Prix{2016-11-04 10:35:11 38111613, 26.044}, Brebt oil, Cours brent}, Variation{+ 0.041%}}
2016-11-04T10:35:11.664+01:00 INFO    SimulatorItemWrapper{entity=MatierePremiere{Prix{2016-11-04 10:35:11 38111321, 79.917}, Gaz naturel, Cours gaz naturel}, Variation{+ 0.019%}}
2016-11-04T10:35:11.735+01:00 INFO    SimulatorItemWrapper{entity=MatierePremiere{Prix{2016-11-04 10:35:11 38111539, 1122.331}, Platine, Cours platine}, Variation{- 0.016%}}
2016-11-04T10:35:11.738+01:00 INFO    SimulatorItemWrapper{entity=MatierePremiere{Prix{2016-11-04 10:35:11 38111661, 27.098}, Brebt oil, Cours brent}, Variation{+ 0.041%}}
2016-11-04T10:35:11.753+01:00 INFO    SimulatorItemWrapper{entity=MatierePremiere{Prix{2016-11-04 10:35:11 38111593, 80.268}, Café C, Cours café}, Variation{- 0.016%}}
2016-11-04T10:35:11.813+01:00 INFO    SimulatorItemWrapper{entity=MatierePremiere{Prix{2016-11-04 10:35:11 38111529, 1420.345}, Or, Cours or}, Variation{- 0.039%}}
2016-11-04T10:35:11.816+01:00 INFO    SimulatorItemWrapper{entity=MatierePremiere{Prix{2016-11-04 10:35:11 38111511, 525.964}, Soja, Cours soja}, Variation{- 0.022%}}
2016-11-04T10:35:11.836+01:00 INFO    SimulatorItemWrapper{entity=MatierePremiere{Prix{2016-11-04 10:35:11 38111753, 78.693}, Café C, Cours café}, Variation{- 0.020%}}
2016-11-04T10:35:11.871+01:00 INFO    SimulatorItemWrapper{entity=MatierePremiere{Prix{2016-11-04 10:35:11 38111816, 515.433}, Soja, Cours soja}, Variation{- 0.021%}}
2016-11-04T10:35:11.886+01:00 INFO    SimulatorItemWrapper{entity=MatierePremiere{Prix{2016-11-04 10:35:11 38111487, 67.249}, Pétrole, Cours pétrole}, Variation{- 0.017%}}
2016-11-04T10:35:11.886+01:00 INFO    SimulatorItemWrapper{entity=MatierePremiere{Prix{2016-11-04 10:35:11 38111886, 1068.170}, Platine, Cours platine}, Variation{- 0.033%}}
2016-11-04T10:35:11.905+01:00 INFO    SimulatorItemWrapper{entity=MatierePremiere{Prix{2016-11-04 10:35:11 38111582, 38.721}, Coton, Cours coton}, Variation{+ 0.035%}}
2016-11-04T10:35:12.012+01:00 INFO    SimulatorItemWrapper{entity=MatierePremiere{Prix{2016-11-04 10:35:11 38111535, 512.367}, Blé, Cours blé}, Variation{- 0.018%}}
2016-11-04T10:35:12.035+01:00 INFO    SimulatorItemWrapper{entity=MatierePremiere{Prix{2016-11-04 10:35:11 38111813, 1397.256}, Or, Cours or}, Variation{- 0.017%}}
2016-11-04T10:35:12.056+01:00 INFO    SimulatorItemWrapper{entity=MatierePremiere{Prix{2016-11-04 10:35:11 38111837, 80.108}, Café C, Cours café}, Variation{+ 0.018%}}
2016-11-04T10:35:12.059+01:00 INFO    SimulatorItemWrapper{entity=MatierePremiere{Prix{2016-11-04 10:35:11 38111664, 82.651}, Gaz naturel, Cours gaz naturel}, Variation{+ 0.035%}}
2016-11-04T10:35:12.082+01:00 INFO    SimulatorItemWrapper{entity=MatierePremiere{Prix{2016-11-04 10:35:12 38112059, 79.974}, Gaz naturel, Cours gaz naturel}, Variation{- 0.033%}}
2016-11-04T10:35:12.110+01:00 INFO    SimulatorItemWrapper{entity=MatierePremiere{Prix{2016-11-04 10:35:11 38111738, 28.446}, Brebt oil, Cours brent}, Variation{+ 0.050%}}
2016-11-04T10:35:12.194+01:00 INFO    SimulatorItemWrapper{entity=MatierePremiere{Prix{2016-11-04 10:35:11 38111905, 39.375}, Coton, Cours coton}, Variation{+ 0.017%}}
2016-11-04T10:35:12.326+01:00 INFO    SimulatorItemWrapper{entity=MatierePremiere{Prix{2016-11-04 10:35:11 38111887, 64.829}, Pétrole, Cours pétrole}, Variation{- 0.036%}}
2016-11-04T10:35:12.335+01:00 INFO    SimulatorItemWrapper{entity=MatierePremiere{Prix{2016-11-04 10:35:11 38111872, 504.602}, Soja, Cours soja}, Variation{- 0.022%}}
2016-11-04T10:35:12.375+01:00 INFO    SimulatorItemWrapper{entity=MatierePremiere{Prix{2016-11-04 10:35:11 38111886, 1068.170}, Platine, Cours platine}, Variation{- 0.033%}}
2016-11-04T10:35:12.411+01:00 INFO    SimulatorItemWrapper{entity=MatierePremiere{Prix{2016-11-04 10:35:12 38112056, 82.645}, Café C, Cours café}, Variation{+ 0.032%}}
2016-11-04T10:35:12.435+01:00 INFO    SimulatorItemWrapper{entity=MatierePremiere{Prix{2016-11-04 10:35:12 38112111, 29.751}, Brebt oil, Cours brent}, Variation{+ 0.046%}}
2016-11-04T10:35:12.454+01:00 INFO    SimulatorItemWrapper{entity=MatierePremiere{Prix{2016-11-04 10:35:12 38112012, 506.875}, Blé, Cours blé}, Variation{- 0.011%}}
2016-11-04T10:35:12.464+01:00 INFO    SimulatorItemWrapper{entity=MatierePremiere{Prix{2016-11-04 10:35:12 38112435, 31.122}, Brebt oil, Cours brent}, Variation{+ 0.047%}}
2016-11-04T10:35:12.509+01:00 INFO    SimulatorItemWrapper{entity=MatierePremiere{Prix{2016-11-04 10:35:12 38112035, 1375.159}, Or, Cours or}, Variation{- 0.016%}}
2016-11-04T10:35:12.525+01:00 INFO    SimulatorItemWrapper{entity=MatierePremiere{Prix{2016-11-04 10:35:12 38112082, 77.310}, Gaz naturel, Cours gaz naturel}, Variation{- 0.034%}}
2016-11-04T10:35:12.533+01:00 INFO    SimulatorItemWrapper{entity=MatierePremiere{Prix{2016-11-04 10:35:12 38112335, 483.060}, Soja, Cours soja}, Variation{- 0.043%}}
2016-11-04T10:35:12.563+01:00 INFO    SimulatorItemWrapper{entity=MatierePremiere{Prix{2016-11-04 10:35:12 38112509, 1357.978}, Or, Cours or}, Variation{- 0.013%}}
2016-11-04T10:35:12.571+01:00 INFO    SimulatorItemWrapper{entity=MatierePremiere{Prix{2016-11-04 10:35:12 38112326, 63.352}, Pétrole, Cours pétrole}, Variation{- 0.023%}}
2016-11-04T10:35:12.578+01:00 INFO    SimulatorItemWrapper{entity=MatierePremiere{Prix{2016-11-04 10:35:12 38112454, 497.424}, Blé, Cours blé}, Variation{- 0.019%}}
2016-11-04T10:35:12.625+01:00 INFO    SimulatorItemWrapper{entity=MatierePremiere{Prix{2016-11-04 10:35:12 38112194, 40.319}, Coton, Cours coton}, Variation{+ 0.024%}}
2016-11-04T10:35:12.675+01:00 INFO    SimulatorItemWrapper{entity=MatierePremiere{Prix{2016-11-04 10:35:12 38112625, 42.221}, Coton, Cours coton}, Variation{+ 0.048%}}
2016-11-04T10:35:12.734+01:00 INFO    SimulatorItemWrapper{entity=MatierePremiere{Prix{2016-11-04 10:35:12 38112578, 487.920}, Blé, Cours blé}, Variation{- 0.020%}}
2016-11-04T10:35:12.739+01:00 INFO    SimulatorItemWrapper{entity=MatierePremiere{Prix{2016-11-04 10:35:12 38112563, 1301.866}, Or, Cours or}, Variation{- 0.042%}}
2016-11-04T10:35:12.749+01:00 INFO    SimulatorItemWrapper{entity=MatierePremiere{Prix{2016-11-04 10:35:12 38112375, 1036.988}, Platine, Cours platine}, Variation{- 0.030%}}
2016-11-04T10:35:12.754+01:00 INFO    SimulatorItemWrapper{entity=MatierePremiere{Prix{2016-11-04 10:35:12 38112464, 32.311}, Brebt oil, Cours brent}, Variation{+ 0.039%}}
2016-11-04T10:35:12.827+01:00 INFO    SimulatorItemWrapper{entity=MatierePremiere{Prix{2016-11-04 10:35:12 38112754, 33.232}, Brebt oil, Cours brent}, Variation{+ 0.029%}}
2016-11-04T10:35:12.840+01:00 INFO    SimulatorItemWrapper{entity=MatierePremiere{Prix{2016-11-04 10:35:12 38112739, 1287.948}, Or, Cours or}, Variation{- 0.011%}}
2016-11-04T10:35:12.876+01:00 INFO    SimulatorItemWrapper{entity=MatierePremiere{Prix{2016-11-04 10:35:12 38112734, 469.387}, Blé, Cours blé}, Variation{- 0.038%}}
2016-11-04T10:35:12.887+01:00 INFO    SimulatorItemWrapper{entity=MatierePremiere{Prix{2016-11-04 10:35:12 38112571, 60.263}, Pétrole, Cours pétrole}, Variation{- 0.049%}}
2016-11-04T10:35:12.897+01:00 INFO    SimulatorItemWrapper{entity=MatierePremiere{Prix{2016-11-04 10:35:12 38112411, 86.458}, Café C, Cours café}, Variation{+ 0.047%}}
2016-11-04T10:35:12.908+01:00 INFO    SimulatorItemWrapper{entity=MatierePremiere{Prix{2016-11-04 10:35:12 38112525, 74.949}, Gaz naturel, Cours gaz naturel}, Variation{- 0.031%}}
2016-11-04T10:35:12.921+01:00 INFO    SimulatorItemWrapper{entity=MatierePremiere{Prix{2016-11-04 10:35:12 38112897, 87.705}, Café C, Cours café}, Variation{+ 0.015%}}
2016-11-04T10:35:12.954+01:00 INFO    SimulatorItemWrapper{entity=MatierePremiere{Prix{2016-11-04 10:35:12 38112921, 90.819}, Café C, Cours café}, Variation{+ 0.036%}}
2016-11-04T10:35:12.964+01:00 INFO    SimulatorItemWrapper{entity=MatierePremiere{Prix{2016-11-04 10:35:12 38112749, 1023.865}, Platine, Cours platine}, Variation{- 0.013%}}
2016-11-04T10:35:12.971+01:00 INFO    SimulatorItemWrapper{entity=MatierePremiere{Prix{2016-11-04 10:35:12 38112841, 1263.266}, Or, Cours or}, Variation{- 0.020%}}
2016-11-04T10:35:12.977+01:00 INFO    SimulatorItemWrapper{entity=MatierePremiere{Prix{2016-11-04 10:35:12 38112533, 495.615}, Soja, Cours soja}, Variation{+ 0.026%}}
2016-11-04T10:35:13.085+01:00 INFO    SimulatorItemWrapper{entity=MatierePremiere{Prix{2016-11-04 10:35:12 38112908, 72.158}, Gaz naturel, Cours gaz naturel}, Variation{- 0.038%}}
2016-11-04T10:35:13.131+01:00 INFO    SimulatorItemWrapper{entity=MatierePremiere{Prix{2016-11-04 10:35:12 38112876, 449.690}, Blé, Cours blé}, Variation{- 0.042%}}
2016-11-04T10:35:13.135+01:00 INFO    SimulatorItemWrapper{entity=MatierePremiere{Prix{2016-11-04 10:35:12 38112978, 482.643}, Soja, Cours soja}, Variation{- 0.027%}}
2016-11-04T10:35:13.161+01:00 INFO    SimulatorItemWrapper{entity=MatierePremiere{Prix{2016-11-04 10:35:12 38112675, 43.662}, Coton, Cours coton}, Variation{+ 0.035%}}
2016-11-04T10:35:13.245+01:00 INFO    SimulatorItemWrapper{entity=MatierePremiere{Prix{2016-11-04 10:35:13 38113162, 44.776}, Coton, Cours coton}, Variation{+ 0.026%}}
2016-11-04T10:35:13.249+01:00 INFO    SimulatorItemWrapper{entity=MatierePremiere{Prix{2016-11-04 10:35:12 38112954, 91.799}, Café C, Cours café}, Variation{+ 0.011%}}
2016-11-04T10:35:13.279+01:00 INFO    SimulatorItemWrapper{entity=MatierePremiere{Prix{2016-11-04 10:35:12 38112888, 58.075}, Pétrole, Cours pétrole}, Variation{- 0.037%}}
2016-11-04T10:35:13.282+01:00 INFO    SimulatorItemWrapper{entity=MatierePremiere{Prix{2016-11-04 10:35:13 38113249, 94.276}, Café C, Cours café}, Variation{+ 0.027%}}
2016-11-04T10:35:13.287+01:00 INFO    SimulatorItemWrapper{entity=MatierePremiere{Prix{2016-11-04 10:35:13 38113132, 430.502}, Blé, Cours blé}, Variation{- 0.043%}}
2016-11-04T10:35:13.320+01:00 INFO    SimulatorItemWrapper{entity=MatierePremiere{Prix{2016-11-04 10:35:12 38112827, 33.835}, Brebt oil, Cours brent}, Variation{+ 0.019%}}
2016-11-04T10:35:13.368+01:00 INFO    SimulatorItemWrapper{entity=MatierePremiere{Prix{2016-11-04 10:35:13 38113287, 421.256}, Blé, Cours blé}, Variation{- 0.022%}}
2016-11-04T10:35:13.389+01:00 INFO    SimulatorItemWrapper{entity=MatierePremiere{Prix{2016-11-04 10:35:13 38113282, 96.369}, Café C, Cours café}, Variation{+ 0.023%}}
2016-11-04T10:35:13.392+01:00 INFO    SimulatorItemWrapper{entity=MatierePremiere{Prix{2016-11-04 10:35:12 38112972, 1244.583}, Or, Cours or}, Variation{- 0.015%}}
2016-11-04T10:35:13.413+01:00 INFO    SimulatorItemWrapper{entity=MatierePremiere{Prix{2016-11-04 10:35:13 38113321, 34.967}, Brebt oil, Cours brent}, Variation{+ 0.034%}}
2016-11-04T10:35:13.444+01:00 INFO    SimulatorItemWrapper{entity=MatierePremiere{Prix{2016-11-04 10:35:12 38112965, 1001.143}, Platine, Cours platine}, Variation{- 0.023%}}
2016-11-04T10:35:13.459+01:00 INFO    SimulatorItemWrapper{entity=MatierePremiere{Prix{2016-11-04 10:35:13 38113246, 46.605}, Coton, Cours coton}, Variation{+ 0.041%}}
2016-11-04T10:35:13.494+01:00 INFO    SimulatorItemWrapper{entity=MatierePremiere{Prix{2016-11-04 10:35:13 38113392, 1214.433}, Or, Cours or}, Variation{- 0.025%}}
2016-11-04T10:35:13.517+01:00 INFO    SimulatorItemWrapper{entity=MatierePremiere{Prix{2016-11-04 10:35:13 38113459, 47.161}, Coton, Cours coton}, Variation{+ 0.012%}}
2016-11-04T10:35:13.543+01:00 INFO    SimulatorItemWrapper{entity=MatierePremiere{Prix{2016-11-04 10:35:13 38113135, 488.002}, Soja, Cours soja}, Variation{+ 0.012%}}
2016-11-04T10:35:13.552+01:00 INFO    SimulatorItemWrapper{entity=MatierePremiere{Prix{2016-11-04 10:35:13 38113279, 56.877}, Pétrole, Cours pétrole}, Variation{- 0.021%}}
2016-11-04T10:35:13.568+01:00 INFO    SimulatorItemWrapper{entity=MatierePremiere{Prix{2016-11-04 10:35:13 38113085, 69.880}, Gaz naturel, Cours gaz naturel}, Variation{- 0.032%}}
2016-11-04T10:35:13.598+01:00 INFO    SimulatorItemWrapper{entity=MatierePremiere{Prix{2016-11-04 10:35:13 38113368, 412.075}, Blé, Cours blé}, Variation{- 0.022%}}
2016-11-04T10:35:13.709+01:00 INFO    SimulatorItemWrapper{entity=MatierePremiere{Prix{2016-11-04 10:35:13 38113517, 48.704}, Coton, Cours coton}, Variation{+ 0.033%}}
2016-11-04T10:35:13.758+01:00 INFO    SimulatorItemWrapper{entity=MatierePremiere{Prix{2016-11-04 10:35:13 38113444, 968.338}, Platine, Cours platine}, Variation{- 0.033%}}
2016-11-04T10:35:13.761+01:00 INFO    SimulatorItemWrapper{entity=MatierePremiere{Prix{2016-11-04 10:35:13 38113709, 49.632}, Coton, Cours coton}, Variation{+ 0.020%}}
2016-11-04T10:35:13.763+01:00 INFO    SimulatorItemWrapper{entity=MatierePremiere{Prix{2016-11-04 10:35:13 38113495, 1198.810}, Or, Cours or}, Variation{- 0.013%}}
2016-11-04T10:35:13.790+01:00 INFO    SimulatorItemWrapper{entity=MatierePremiere{Prix{2016-11-04 10:35:13 38113598, 405.079}, Blé, Cours blé}, Variation{- 0.017%}}
